year,population,country-code
1994,108059,670
1995,108043,670
1996,107983,670
1997,107895,670
1998,107807,670
1999,107763,670
2000,107787,670
2001,107893,670
2002,108095,670
2003,108322,670
2004,108520,670
2005,108617,670
2006,108602,670
2007,108516,670
2008,108401,670
2009,108293,670
2010,108260,670
2011,108315,670
2012,108435,670
2013,108624,670
2014,108868,670
2015,109135,670
2016,109467,670
2017,109826,670
2018,110210,670
2019,110593,670
2020,110947,670
1990,20147592,729
1991,20891442,729
1992,21696240,729
1993,22527837,729
1994,23338465,729
1995,24094741,729
1996,24782384,729
1997,25413912,729
1998,26015518,729
1999,26626512,729
2000,27275019,729
2001,27971077,729
2002,28704786,729
2003,29460517,729
2004,30214189,729
2005,30949514,729
2006,31661824,729
2007,32360619,729
2008,33060844,729
2009,33783779,729
2010,34545014,729
2011,35349676,729
2012,36193781,729
2013,37072555,729
2014,37977657,729
2015,38902948,729
2016,39847433,729
2017,40813398,729
2018,41801532,729
2019,42813237,729
2020,43849269,729
1990,405169,740
1991,413009,740
1992,420658,740
1993,428028,740
1994,435099,740
1995,441851,740
1996,448207,740
1997,454165,740
1998,459838,740
1999,465380,740
2000,470944,740
2001,476574,740
2002,482228,740
2003,487938,740
2004,493680,740
2005,499461,740
2006,505292,740
2007,511181,740
2008,517122,740
2009,523113,740
2010,529126,740
2011,535177,740
2012,541247,740
2013,547295,740
2014,553278,740
2015,559136,740
2016,564883,740
2017,570501,740
2018,575987,740
2019,581363,740
2020,586634,740
1990,8558835,752
1991,8617375,752
1992,8668067,752
1993,8718561,752
1994,8780745,752
1995,8826939,752
1996,8840998,752
1997,8846062,752
1998,8850974,752
1999,8857874,752
2000,8872109,752
2001,8895960,752
2002,8924958,752
2003,8958229,752
2004,8993531,752
2005,9029572,752
2006,9080505,752
2007,9148092,752
2008,9219637,752
2009,9298515,752
2010,9378126,752
2011,9449213,752
2012,9519374,752
2013,9600379,752
2014,9696110,752
2015,9799186,752
2016,9923085,752
2017,10057698,752
2018,10175214,752
2019,10278887,752
2020,10353442,752
1990,6715519,756
1991,6799978,756
1992,6875364,756
1993,6938265,756
1994,6993795,756
1995,7040687,756
1996,7071850,756
1997,7088906,756
1998,7110001,756
1999,7143991,756
2000,7184250,756
2001,7229854,756
2002,7284753,756
2003,7339001,756
2004,7389625,756
2005,7437115,756
2006,7483934,756
2007,7551117,756
2008,7647675,756
2009,7743831,756
2010,7824909,756
2011,7912398,756
2012,7996861,756
2013,8089346,756
2014,8188649,756
2015,8282396,756
2016,8373338,756
2017,8451840,756
2018,8514329,756
2019,8575280,756
2020,8636561,756
1990,12446168,760
1991,12815400,760
1992,13187669,760
1993,13565074,760
1994,13950486,760
1995,14345491,760
1996,14754148,760
1997,15175308,760
1998,15599588,760
1999,16013992,760
2000,16410847,760
2001,16766555,760
2002,17084628,760
2003,17415214,760
2004,17827827,760
2005,18361178,760
2006,19059257,760
2007,19878257,760
2008,20664037,760
2009,21205873,760
2010,21362541,760
2011,21081814,760
2012,20438861,760
2013,19578466,760
2014,18710711,760
2015,17997411,760
2016,17465567,760
2017,17095669,760
2018,16945062,760
2019,17070132,760
2020,17500657,760
1990,5283811,762
1991,5400636,762
1992,5502490,762
1993,5593317,762
1994,5679169,762
1995,5764806,762
1996,5851354,762
1997,5938404,762
1998,6027395,762
1999,6119664,762
2000,6216329,762
2001,6318510,762
2002,6426861,762
2003,6541550,762
2004,6662391,762
2005,6789318,762
2006,6922590,762
2007,7062667,762
2008,7209924,762
2009,7364752,762
2010,7527397,762
2011,7697507,762
2012,7874838,762
2013,8059782,762
2014,8252828,762
2015,8454019,762
2016,8663575,762
2017,8880270,762
2018,9100847,762
2019,9321023,762
2020,9537642,762
1990,25203848,834
1991,26056605,834
1992,26961204,834
1993,27887204,834
1994,28792649,834
1995,29649128,834
1996,30444523,834
1997,31192853,834
1998,31924201,834
1999,32682240,834
2000,33499177,834
2001,34385849,834
2002,35334790,834
2003,36337778,834
2004,37379766,834
2005,38450323,834
2006,39548666,834
2007,40681416,834
2008,41853944,834
2009,43073830,834
2010,44346532,834
2011,45673520,834
2012,47053033,834
2013,48483132,834
2014,49960563,834
2015,51482638,834
2016,53049231,834
2017,54660345,834
2018,56313444,834
2019,58005461,834
2020,59734213,834
1990,56558196,764
1991,57232471,764
1992,57811025,764
1993,58337773,764
1994,58875275,764
1995,59467272,764
1996,60130190,764
1997,60846588,764
1998,61585103,764
1999,62298569,764
2000,62952639,764
2001,63539190,764
2002,64069093,764
2003,64549867,764
2004,64995303,764
2005,65416189,764
2006,65812540,764
2007,66182064,764
2008,66530980,764
2009,66866834,764
2010,67195032,764
2011,67518379,764
2012,67835969,764
2013,68144519,764
2014,68438748,764
2015,68714519,764
2016,68971313,764
2017,69209817,764
2018,69428454,764
2019,69625581,764
2020,69799978,764
1990,737814,626
1991,759526,626
1992,783204,626
1993,806867,626
1994,827828,626
1995,844333,626
1996,855358,626
1997,861870,626
1998,866523,626
1999,873138,626
2000,884366,626
2001,901214,626
2002,922699,626
2003,947110,626
2004,971889,626
2005,995130,626
2006,1016437,626
2007,1036388,626
2008,1055428,626
2009,1074286,626
2010,1093517,626
2011,1113154,626
2012,1133002,626
2013,1153288,626
2014,1174333,626
2015,1196294,626
2016,1219289,626
2017,1243260,626
2018,1267975,626
2019,1293120,626
2020,1318442,626
1990,3774310,768
1991,3862998,768
1992,3945902,768
1993,4029044,768
1994,4120615,768
1995,4226293,768
1996,4348808,768
1997,4485945,768
1998,4632451,768
1999,4780455,768
2000,4924406,768
2001,5062571,768
2002,5197040,768
2003,5330629,768
2004,5467770,768
2005,5611643,768
2006,5762881,768
2007,5920360,768
2008,6083417,768
2009,6250840,768
2010,6421674,768
2011,6595939,768
2012,6773807,768
2013,6954721,768
2014,7137997,768
2015,7323162,768
2016,7509952,768
2017,7698476,768
2018,7889095,768
2019,8082359,768
2020,8278737,768
1990,95069,776
1991,95243,776
1992,95398,776
1993,95556,776
1994,95739,776
1995,95972,776
1996,96267,776
1997,96621,776
1998,97036,776
1999,97475,776
2000,97962,776
2001,98482,776
2002,99023,776
2003,99591,776
2004,100214,776
2005,100908,776
2006,101714,776
2007,102577,776
2008,103384,776
2009,103897,776
2010,103981,776
2011,103558,776
2012,102736,776
2013,101768,776
2014,101023,776
2015,100780,776
2016,101143,776
2017,102002,776
2018,103199,776
2019,104497,776
2020,105697,776
1990,1221121,780
1991,1229108,780
1992,1236685,780
1993,1243605,780
1994,1249527,780
1995,1254200,780
1996,1257547,780
1997,1259838,780
1998,1261699,780
1999,1263927,780
2000,1267159,780
2001,1271627,780
2002,1277210,780
2003,1283564,780
2004,1290115,780
2005,1296497,780
2006,1302552,780
2007,1308450,780
2008,1314449,780
2009,1320921,780
2010,1328144,780
2011,1336180,780
2012,1344814,780
2013,1353708,780
2014,1362337,780
2015,1370332,780
2016,1377563,780
2017,1384060,780
2018,1389841,780
2019,1394969,780
2020,1399491,780
1990,8242509,788
1991,8427851,788
1992,8613855,788
1993,8795934,788
1994,8967916,788
1995,9125400,788
1996,9267335,788
1997,9395119,788
1998,9509862,788
1999,9613587,788
2000,9708347,788
2001,9793915,788
2002,9871261,788
2003,9945282,788
2004,10022278,788
2005,10106778,788
2006,10201211,788
2007,10304729,788
2008,10414425,788
2009,10525691,788
2010,10635245,788
2011,10741872,788
2012,10846993,788
2013,10952949,788
2014,11063195,788
2015,11179951,788
2016,11303942,788
2017,11433438,788
2018,11565203,788
2019,11694721,788
2020,11818618,788
1990,53921758,792
1991,54840595,792
1992,55748946,792
1993,56653808,792
1994,57564209,792
1995,58486453,792
1996,59423278,792
1997,60372571,792
1998,61329665,792
1999,62287391,792
2000,63240196,792
2001,64192243,792
2002,65145357,792
2003,66089402,792
2004,67010930,792
2005,67903461,792
2006,68756809,792
2007,69581854,792
2008,70418612,792
2009,71321406,792
2010,72326992,792
2011,73443254,792
2012,74651046,792
2013,75925454,792
2014,77229262,792
2015,78529413,792
2016,79827868,792
2017,81116451,792
2018,82340090,792
2019,83429607,792
2020,84339067,792
1990,3683978,795
1991,3789188,795
1992,3899843,795
1993,4010789,795
1994,4115105,795
1995,4207841,795
1996,4287337,795
1997,4355125,795
1998,4413477,795
1999,4466133,795
2000,4516128,795
2001,4564087,795
2002,4610018,795
2003,4655752,795
2004,4703396,795
2005,4754652,795
2006,4810114,795
2007,4870142,795
2008,4935765,795
2009,5007953,795
2010,5087211,795
2011,5174076,795
2012,5267906,795
2013,5366376,795
2014,5466324,795
2015,5565283,795
2016,5662371,795
2017,5757667,795
2018,5850902,795
2019,5942094,795
2020,6031187,795
1990,12115,796
1991,12815,796
1992,13639,796
1993,14526,796
1994,15399,796
1995,16221,796
1996,16930,796
1997,17566,796
1998,18228,796
1999,19069,796
2000,20171,796
2001,21578,796
2002,23230,796
2003,25008,796
2004,26709,796
2005,28181,796
2006,29394,796
2007,30383,796
2008,31200,796
2009,31933,796
2010,32658,796
2011,33371,796
2012,34067,796
2013,34733,796
2014,35371,796
2015,35979,796
2016,36558,796
2017,37116,796
2018,37667,796
2019,38194,796
2020,38718,796
1990,8910,798
1991,9014,798
1992,9110,798
1993,9194,798
1994,9259,798
1995,9298,798
1996,9317,798
1997,9328,798
1998,9332,798
1999,9344,798
2000,9392,798
2001,9478,798
2002,9593,798
2003,9724,798
2004,9871,798
2005,9997,798
2006,10118,798
2007,10219,798
2008,10315,798
2009,10413,798
2010,10521,798
2011,10626,798
2012,10744,798
2013,10849,798
2014,10973,798
2015,11099,798
2016,11232,798
2017,11365,798
2018,11505,798
2019,11655,798
2020,11792,798
1990,17354395,800
1991,17953534,800
1992,18561668,800
1993,19175986,800
1994,19793541,800
1995,20413157,800
1996,21032817,800
1997,21655392,800
1998,22290787,800
1999,22952406,800
2000,23650159,800
2001,24388974,800
2002,25167261,800
2003,25980547,800
2004,26821300,800
2005,27684590,800
2006,28571475,800
2007,29486335,800
2008,30431734,800
2009,31411096,800
2010,32428164,800
2011,33476772,800
2012,34558700,800
2013,35694519,800
2014,36911530,800
2015,38225447,800
2016,39649173,800
2017,41166588,800
2018,42729032,800
2019,44269587,800
2020,45741000,800
1990,51891400,804
1991,52000500,804
1992,52150400,804
1993,52179200,804
1994,51921400,804
1995,51512800,804
1996,51057800,804
1997,50594600,804
1998,50144500,804
1999,49674000,804
2000,49176500,804
2001,48662400,804
2002,48202470,804
2003,47812949,804
2004,47451626,804
2005,47105171,804
2006,46787786,804
2007,46509355,804
2008,46258189,804
2009,46053331,804
2010,45870741,804
2011,45706086,804
2012,45593342,804
2013,45489648,804
2014,45272155,804
2015,45154036,804
2016,45004673,804
2017,44831135,804
2018,44622518,804
2019,44386203,804
2020,44134693,804
1990,1828437,784
1991,1937159,784
1992,2052892,784
1993,2173135,784
1994,2294377,784
1995,2415099,784
1996,2539121,784
1997,2671361,784
1998,2813214,784
1999,2966029,784
2000,3134067,784
2001,3302722,784
2002,3478769,784
2003,3711931,784
2004,4068577,784
2005,4588222,784
2006,5300172,784
2007,6168846,784
2008,7089486,784
2009,7917368,784
2010,8549998,784
2011,8946778,784
2012,9141598,784
2013,9197908,784
2014,9214182,784
2015,9262896,784
2016,9360975,784
2017,9487206,784
2018,9630966,784
2019,9770526,784
2020,9890400,784
1990,57247586,826
1991,57424897,826
1992,57580402,826
1993,57718614,826
1994,57865745,826
1995,58019030,826
1996,58166950,826
1997,58316954,826
1998,58487141,826
1999,58682466,826
2000,58892514,826
2001,59119673,826
2002,59370479,826
2003,59647577,826
2004,59987905,826
2005,60401206,826
2006,60846820,826
2007,61322463,826
2008,61806995,826
2009,62276270,826
2010,62766365,826
2011,63258810,826
2012,63700215,826
2013,64128273,826
2014,64602298,826
2015,65116219,826
2016,65611593,826
2017,66058859,826
2018,66460344,826
2019,66836327,826
2020,67215293,826
1990,249623000,840
1991,252981000,840
1992,256514000,840
1993,259919000,840
1994,263126000,840
1995,266278000,840
1996,269394000,840
1997,272657000,840
1998,275854000,840
1999,279040000,840
2000,282162411,840
2001,284968955,840
2002,287625193,840
2003,290107933,840
2004,292805298,840
2005,295516599,840
2006,298379912,840
2007,301231207,840
2008,304093966,840
2009,306771529,840
2010,309327143,840
2011,311583481,840
2012,313877662,840
2013,316059947,840
2014,318386329,840
2015,320738994,840
2016,323071755,840
2017,325122128,840
2018,326838199,840
2019,328329953,840
2020,331501080,840
1990,3109598,858
1991,3131657,858
1992,3154459,858
1993,3177734,858
1994,3201149,858
1995,3224275,858
1996,3247383,858
1997,3270158,858
1998,3291053,858
1999,3308005,858
2000,3319734,858
2001,3325471,858
2002,3326046,858
2003,3323661,858
2004,3321486,858
2005,3321799,858
2006,3325403,858
2007,3331753,858
2008,3340221,858
2009,3349676,858
2010,3359273,858
2011,3368926,858
2012,3378975,858
2013,3389436,858
2014,3400439,858
2015,3412013,858
2016,3424139,858
2017,3436645,858
2018,3449290,858
2019,3461731,858
2020,3473727,858
1990,20510000,860
1991,20952000,860
1992,21449000,860
1993,21942000,860
1994,22377000,860
1995,22785000,860
1996,23225000,860
1997,23667000,860
1998,24051000,860
1999,24311650,860
2000,24650400,860
2001,24964450,860
2002,25271850,860
2003,25567650,860
2004,25864350,860
2005,26167000,860
2006,26488250,860
2007,26868000,860
2008,27302800,860
2009,27767400,860
2010,28562400,860
2011,29339400,860
2012,29774500,860
2013,30243200,860
2014,30757700,860
2015,31298900,860
2016,31847900,860
2017,32388600,860
2018,32956100,860
2019,33580350,860
2020,34232050,860
1990,146575,548
1991,150718,548
1992,155176,548
1993,159743,548
1994,164128,548
1995,168161,548
1996,171721,548
1997,174917,548
1998,177987,548
1999,181259,548
2000,184964,548
2001,189209,548
2002,193927,548
2003,198960,548
2004,204123,548
2005,209282,548
2006,214379,548
2007,219464,548
2008,224700,548
2009,230244,548
2010,236216,548
2011,242658,548
2012,249505,548
2013,256637,548
2014,263888,548
2015,271128,548
2016,278326,548
2017,285499,548
2018,292675,548
2019,299882,548
2020,307150,548
1990,19632665,862
1991,20096314,862
1992,20557694,862
1993,21016900,862
1994,21474553,862
1995,21931087,862
1996,22385650,862
1997,22837743,862
1998,23288567,862
1999,23739835,862
2000,24192449,862
2001,24646471,862
2002,25100407,862
2003,25551624,862
2004,25996594,862
2005,26432445,862
2006,26850190,862
2007,27247601,862
2008,27635827,862
2009,28031010,862
2010,28439942,862
2011,28887873,862
2012,29360827,862
2013,29781046,862
2014,30042973,862
2015,30081827,862
2016,29851249,862
2017,29402480,862
2018,28887117,862
2019,28515829,862
2020,28435943,862
1990,67988855,704
1991,69436956,704
1992,70883488,704
1993,72300308,704
1994,73651220,704
1995,74910462,704
1996,76068739,704
1997,77133212,704
1998,78115712,704
1999,79035871,704
2000,79910411,704
2001,80742500,704
2002,81534406,704
2003,82301650,704
2004,83062819,704
2005,83832662,704
2006,84617545,704
2007,85419588,704
2008,86243424,704
2009,87092250,704
2010,87967655,704
2011,88871384,704
2012,89801926,704
2013,90752593,704
2014,91713850,704
2015,92677082,704
2016,93640435,704
2017,94600643,704
2018,95545959,704
2019,96462108,704
2020,97338583,704
1990,103963,850
1991,104807,850
1992,105712,850
1993,106578,850
1994,107318,850
1995,107818,850
1996,108095,850
1997,108357,850
1998,108537,850
1999,108599,850
2000,108642,850
2001,108549,850
2002,108509,850
2003,108505,850
2004,108466,850
2005,108453,850
2006,108369,850
2007,108337,850
2008,108397,850
2009,108404,850
2010,108357,850
2011,108290,850
2012,108188,850
2013,108041,850
2014,107882,850
2015,107712,850
2016,107516,850
2017,107281,850
2018,107001,850
2019,106669,850
2020,106290,850
1990,1978248,275
1991,2068845,275
1992,2163591,275
1993,2262676,275
1994,2366298,275
1995,2474666,275
1996,2587997,275
1997,2706518,275
1998,2776568,275
1999,2848431,275
2000,2922153,275
2001,2997784,275
2002,3075373,275
2003,3154969,275
2004,3236626,275
2005,3320396,275
2006,3406334,275
2007,3494496,275
2008,3591977,275
2009,3689099,275
2010,3786161,275
2011,3882986,275
2012,3979998,275
2013,4076708,275
2014,4173398,275
2015,4270092,275
2016,4367088,275
2017,4454805,275
2018,4569087,275
2019,4685306,275
2020,4803269,275
1990,11709987,887
1991,12302127,887
1992,12954157,887
1993,13634082,887
1994,14297617,887
1995,14913313,887
1996,15469274,887
1997,15975676,887
1998,16450306,887
1999,16921157,887
2000,17409071,887
2001,17918369,887
2002,18443684,887
2003,18985001,887
2004,19540096,887
2005,20107416,887
2006,20687648,887
2007,21282514,887
2008,21892149,887
2009,22516464,887
2010,23154854,887
2011,23807586,887
2012,24473176,887
2013,25147112,887
2014,25823488,887
2015,26497881,887
2016,27168210,887
2017,27834811,887
2018,28498683,887
2019,29161922,887
2020,29825968,887
1990,8036849,894
1991,8246662,894
1992,8451346,894
1993,8656484,894
1994,8869745,894
1995,9096608,894
1996,9339740,894
1997,9597610,894
1998,9866474,894
1999,10140564,894
2000,10415942,894
2001,10692197,894
2002,10971704,894
2003,11256740,894
2004,11550641,894
2005,11856244,894
2006,12173518,894
2007,12502958,894
2008,12848531,894
2009,13215142,894
2010,13605986,894
2011,14023199,894
2012,14465148,894
2013,14926551,894
2014,15399793,894
2015,15879370,894
2016,16363449,894
2017,16853608,894
2018,17351714,894
2019,17861034,894
2020,18383956,894
1990,10432409,716
1991,10681008,716
1992,10900511,716
1993,11092775,716
1994,11261752,716
1995,11410721,716
1996,11541215,716
1997,11653254,716
1998,11747079,716
1999,11822722,716
2000,11881482,716
2001,11923906,716
2002,11954293,716
2003,11982219,716
2004,12019911,716
2005,12076697,716
2006,12155496,716
2007,12255920,716
2008,12379553,716
2009,12526964,716
2010,12697728,716
2011,12894323,716
2012,13115149,716
2013,13350378,716
2014,13586710,716
2015,13814642,716
2016,14030338,716
2017,14236599,716
2018,14438812,716
2019,14645473,716
2020,14862927,716
