,"Region, development group, country or area",Location code,year,value
78,   Myanmar,104,1996,974018
79,   Philippines,608,1996,2598103
80,   Singapore,702,1996,173066
81,   Thailand,764,1996,435708
82,   Timor-Leste,626,1996,92907
83,   Viet Nam,704,1996,1905562
84,  South-Eastern Asia,920,1997,10651815
85,   Brunei Darussalam,96,1997,39128
86,   Cambodia,116,1997,434776
87,   Indonesia,360,1997,2128370
88,   Lao People's Democratic Republic,418,1997,588386
89,   Malaysia*,458,1997,997178
90,   Myanmar,104,1997,1036591
91,   Philippines,608,1997,2714243
92,   Singapore,702,1997,178032
93,   Thailand,764,1997,459538
94,   Timor-Leste,626,1997,106765
95,   Viet Nam,704,1997,1968804
96,  South-Eastern Asia,920,1998,11130598
97,   Brunei Darussalam,96,1998,41166
98,   Cambodia,116,1998,443057
99,   Indonesia,360,1998,2223939
100,   Lao People's Democratic Republic,418,1998,608686
101,   Malaysia*,458,1998,1065164
102,   Myanmar,104,1998,1099164
103,   Philippines,608,1998,2830384
104,   Singapore,702,1998,182998
105,   Thailand,764,1998,483368
106,   Timor-Leste,626,1998,120623
107,   Viet Nam,704,1998,2032047
108,  South-Eastern Asia,920,1999,11609382
109,   Brunei Darussalam,96,1999,43204
110,   Cambodia,116,1999,451339
111,   Indonesia,360,1999,2319508
112,   Lao People's Democratic Republic,418,1999,628986
113,   Malaysia*,458,1999,1133149
114,   Myanmar,104,1999,1161737
115,   Philippines,608,1999,2946524
116,   Singapore,702,1999,187964
117,   Thailand,764,1999,507198
118,   Timor-Leste,626,1999,134481
119,   Viet Nam,704,1999,2095289
120,  South-Eastern Asia,920,2000,12088166
121,   Brunei Darussalam,96,2000,45242
122,   Cambodia,116,2000,459621
123,   Indonesia,360,2000,2415077
124,   Lao People's Democratic Republic,418,2000,649287
125,   Malaysia*,458,2000,1201135
126,   Myanmar,104,2000,1224310
127,   Philippines,608,2000,3062665
128,   Singapore,702,2000,192930
129,   Thailand,764,2000,531028
130,   Timor-Leste,626,2000,148339
131,   Viet Nam,704,2000,2158532
132,  South-Eastern Asia,920,2001,12577934
133,   Brunei Darussalam,96,2001,45256
134,   Cambodia,116,2001,502584
135,   Indonesia,360,2001,2488319
136,   Lao People's Democratic Republic,418,2001,698830
137,   Malaysia*,458,2001,1236769
138,   Myanmar,104,2001,1326766
139,   Philippines,608,2001,3187037
140,   Singapore,702,2001,201480
141,   Thailand,764,2001,551158
142,   Timor-Leste,626,2001,137663
143,   Viet Nam,704,2001,2202070
144,  South-Eastern Asia,920,2002,13067703
145,   Brunei Darussalam,96,2002,45270
146,   Cambodia,116,2002,545547
147,   Indonesia,360,2002,2561561
148,   Lao People's Democratic Republic,418,2002,748373
149,   Malaysia*,458,2002,1272403
150,   Myanmar,104,2002,1429222
151,   Philippines,608,2002,3311410
152,   Singapore,702,2002,210031
153,   Thailand,764,2002,571288
154,   Timor-Leste,626,2002,126987
155,   Viet Nam,704,2002,2245609
156,  South-Eastern Asia,920,2003,13557471
157,   Brunei Darussalam,96,2003,45285
158,   Cambodia,116,2003,588510
159,   Indonesia,360,2003,2634803
160,   Lao People's Democratic Republic,418,2003,797916
161,   Malaysia*,458,2003,1308037
162,   Myanmar,104,2003,1531678
163,   Philippines,608,2003,3435782
164,   Singapore,702,2003,218581
165,   Thailand,764,2003,591418
166,   Timor-Leste,626,2003,116312
167,   Viet Nam,704,2003,2289147
168,  South-Eastern Asia,920,2004,14047240
169,   Brunei Darussalam,96,2004,45299
170,   Cambodia,116,2004,631473
171,   Indonesia,360,2004,2708045
172,   Lao People's Democratic Republic,418,2004,847459
173,   Malaysia*,458,2004,1343671
174,   Myanmar,104,2004,1634134
175,   Philippines,608,2004,3560155
176,   Singapore,702,2004,227132
177,   Thailand,764,2004,611548
178,   Timor-Leste,626,2004,105636
179,   Viet Nam,704,2004,2332686
180,  South-Eastern Asia,920,2005,14537009
181,   Brunei Darussalam,96,2005,45314
182,   Cambodia,116,2005,674436
183,   Indonesia,360,2005,2781287
184,   Lao People's Democratic Republic,418,2005,897002
185,   Malaysia*,458,2005,1379305
186,   Myanmar,104,2005,1736590
187,   Philippines,608,2005,3684528
188,   Singapore,702,2005,235683
189,   Thailand,764,2005,631678
190,   Timor-Leste,626,2005,94961
191,   Viet Nam,704,2005,2376225
192,  South-Eastern Asia,920,2006,15252389
193,   Brunei Darussalam,96,2006,45159
194,   Cambodia,116,2006,730160
195,   Indonesia,360,2006,2908222
196,   Lao People's Democratic Republic,418,2006,957374
197,   Malaysia*,458,2006,1423256
198,   Myanmar,104,2006,1887726
199,   Philippines,608,2006,3886161
200,   Singapore,702,2006,245030
201,   Thailand,764,2006,659193
202,   Timor-Leste,626,2006,82976
203,   Viet Nam,704,2006,2427128
204,  South-Eastern Asia,920,2007,15967770
205,   Brunei Darussalam,96,2007,45004
206,   Cambodia,116,2007,785885
207,   Indonesia,360,2007,3035157
208,   Lao People's Democratic Republic,418,2007,1017746
209,   Malaysia*,458,2007,1467207
210,   Myanmar,104,2007,2038863
211,   Philippines,608,2007,4087794
212,   Singapore,702,2007,254378
213,   Thailand,764,2007,686709
214,   Timor-Leste,626,2007,70991
215,   Viet Nam,704,2007,2478031
216,  South-Eastern Asia,920,2008,16683150
217,   Brunei Darussalam,96,2008,44850
218,   Cambodia,116,2008,841609
219,   Indonesia,360,2008,3162092
220,   Lao People's Democratic Republic,418,2008,1078118
221,   Malaysia*,458,2008,1511158
222,   Myanmar,104,2008,2190000
223,   Philippines,608,2008,4289428
224,   Singapore,702,2008,263725
225,   Thailand,764,2008,714225
226,   Timor-Leste,626,2008,59006
227,   Viet Nam,704,2008,2528935
228,  South-Eastern Asia,920,2009,17398531
229,   Brunei Darussalam,96,2009,44695
230,   Cambodia,116,2009,897334
231,   Indonesia,360,2009,3289027
232,   Lao People's Democratic Republic,418,2009,1138490
233,   Malaysia*,458,2009,1555109
234,   Myanmar,104,2009,2341137
235,   Philippines,608,2009,4491061
236,   Singapore,702,2009,273073
237,   Thailand,764,2009,741741
238,   Timor-Leste,626,2009,47021
239,   Viet Nam,704,2009,2579838
240,  South-Eastern Asia,920,2010,18113912
241,   Brunei Darussalam,96,2010,44541
242,   Cambodia,116,2010,953059
243,   Indonesia,360,2010,3415963
244,   Lao People's Democratic Republic,418,2010,1198862
245,   Malaysia*,458,2010,1599061
246,   Myanmar,104,2010,2492274
247,   Philippines,608,2010,4692695
248,   Singapore,702,2010,282421
249,   Thailand,764,2010,769257
250,   Timor-Leste,626,2010,35037
251,   Viet Nam,704,2010,2630742
252,  South-Eastern Asia,920,2011,18648702
253,   Brunei Darussalam,96,2011,44654
254,   Cambodia,116,2011,977361
255,   Indonesia,360,2011,3545789
256,   Lao People's Democratic Republic,418,2011,1216725
257,   Malaysia*,458,2011,1635456
258,   Myanmar,104,2011,2562318
259,   Philippines,608,2011,4853802
260,   Singapore,702,2011,290864
261,   Thailand,764,2011,799743
262,   Timor-Leste,626,2011,35494
263,   Viet Nam,704,2011,2686491
264,  South-Eastern Asia,920,2012,19183493
265,   Brunei Darussalam,96,2012,44768
266,   Cambodia,116,2012,1001664
267,   Indonesia,360,2012,3675615
268,   Lao People's Democratic Republic,418,2012,1234588
269,   Malaysia*,458,2012,1671851
270,   Myanmar,104,2012,2632362
271,   Philippines,608,2012,5014909
272,   Singapore,702,2012,299308
273,   Thailand,764,2012,830230
274,   Timor-Leste,626,2012,35952
275,   Viet Nam,704,2012,2742241
276,  South-Eastern Asia,920,2013,19718283
277,   Brunei Darussalam,96,2013,44882
278,   Cambodia,116,2013,1025966
279,   Indonesia,360,2013,3805442
280,   Lao People's Democratic Republic,418,2013,1252452
281,   Malaysia*,458,2013,1708247
282,   Myanmar,104,2013,2702406
283,   Philippines,608,2013,5176017
284,   Singapore,702,2013,307751
285,   Thailand,764,2013,860716
286,   Timor-Leste,626,2013,36409
287,   Viet Nam,704,2013,2797991
288,  South-Eastern Asia,920,2014,20253074
289,   Brunei Darussalam,96,2014,44996
290,   Cambodia,116,2014,1050269
291,   Indonesia,360,2014,3935268
292,   Lao People's Democratic Republic,418,2014,1270315
293,   Malaysia*,458,2014,1744642
294,   Myanmar,104,2014,2772450
295,   Philippines,608,2014,5337124
296,   Singapore,702,2014,316195
297,   Thailand,764,2014,891203
298,   Timor-Leste,626,2014,36867
299,   Viet Nam,704,2014,2853741
300,  South-Eastern Asia,920,2015,20787865
301,   Brunei Darussalam,96,2015,45110
302,   Cambodia,116,2015,1074572
303,   Indonesia,360,2015,4065095
304,   Lao People's Democratic Republic,418,2015,1288179
305,   Malaysia*,458,2015,1781038
306,   Myanmar,104,2015,2842494
307,   Philippines,608,2015,5498232
308,   Singapore,702,2015,324639
309,   Thailand,764,2015,921690
310,   Timor-Leste,626,2015,37325
311,   Viet Nam,704,2015,2909491
312,  South-Eastern Asia,920,2016,21346439
313,   Brunei Darussalam,96,2016,45156
314,   Cambodia,116,2016,1080621
315,   Indonesia,360,2016,4172349
316,   Lao People's Democratic Republic,418,2016,1289753
317,   Malaysia*,458,2016,1796837
318,   Myanmar,104,2016,3016345
319,   Philippines,608,2016,5617447
320,   Singapore,702,2016,329404
321,   Thailand,764,2016,954749
322,   Timor-Leste,626,2016,37777
323,   Viet Nam,704,2016,3005997
324,  South-Eastern Asia,920,2017,21905013
325,   Brunei Darussalam,96,2017,45202
326,   Cambodia,116,2017,1086670
327,   Indonesia,360,2017,4279604
328,   Lao People's Democratic Republic,418,2017,1291327
329,   Malaysia*,458,2017,1812637
330,   Myanmar,104,2017,3190196
331,   Philippines,608,2017,5736662
332,   Singapore,702,2017,334169
333,   Thailand,764,2017,987808
334,   Timor-Leste,626,2017,38230
335,   Viet Nam,704,2017,3102504
336,  South-Eastern Asia,920,2018,22463587
337,   Brunei Darussalam,96,2018,45248
338,   Cambodia,116,2018,1092720
339,   Indonesia,360,2018,4386859
340,   Lao People's Democratic Republic,418,2018,1292902
341,   Malaysia*,458,2018,1828437
342,   Myanmar,104,2018,3364048
343,   Philippines,608,2018,5855877
344,   Singapore,702,2018,338934
345,   Thailand,764,2018,1020867
346,   Timor-Leste,626,2018,38682
347,   Viet Nam,704,2018,3199011
348,  South-Eastern Asia,920,2019,23022161
349,   Brunei Darussalam,96,2019,45294
350,   Cambodia,116,2019,1098769
351,   Indonesia,360,2019,4494114
352,   Lao People's Democratic Republic,418,2019,1294476
353,   Malaysia*,458,2019,1844237
354,   Myanmar,104,2019,3537899
355,   Philippines,608,2019,5975092
356,   Singapore,702,2019,343699
357,   Thailand,764,2019,1053926
358,   Timor-Leste,626,2019,39135
359,   Viet Nam,704,2019,3295518
360,  South-Eastern Asia,920,2020,23580736
361,   Brunei Darussalam,96,2020,45340
362,   Cambodia,116,2020,1104819
363,   Indonesia,360,2020,4601369
364,   Lao People's Democratic Republic,418,2020,1296051
365,   Malaysia*,458,2020,1860037
366,   Myanmar,104,2020,3711751
367,   Philippines,608,2020,6094307
368,   Singapore,702,2020,348464
369,   Thailand,764,2020,1086985
370,   Timor-Leste,626,2020,39588
371,   Viet Nam,704,2020,3392025
